Durusdinium15234	K08805
Durusdinium108580	K01425
Durusdinium49748	K20777
Durusdinium83326	K08582
Durusdinium13687	K15288
Durusdinium50068	K03671
Durusdinium26302	K11540
Durusdinium31313	K11835
Durusdinium21558	K20551
Durusdinium3197	K08794
Durusdinium38306	K01703
Durusdinium104244	K12231
Durusdinium36673	K02969
Durusdinium77216	K02997
Durusdinium13206	K03019
Durusdinium87238	K03006
Durusdinium97135	K12818
Durusdinium2061	K02728
Durusdinium73113	K01462
Durusdinium16185	K19219
Durusdinium19451	K14683
Durusdinium1050	K03246
Durusdinium1288	K10407
Durusdinium63752	K19704
Durusdinium15185	K01173
Durusdinium106661	K03644
Durusdinium9903	K04459
Durusdinium109363	K18418
Durusdinium61633	K02537
Durusdinium5701	K17943
Durusdinium95713	K04373
Durusdinium85766	K13507
Durusdinium52451	K00620
Durusdinium4133	K10807
Durusdinium42604	K10960
Durusdinium13986	K13095
Durusdinium32699	K06867
Durusdinium20919	K04849
Durusdinium75421	K11610
Durusdinium109905	K03500
Durusdinium79157	K10843
Durusdinium3474	K08056
Durusdinium17748	K01624
Durusdinium99340	K00261
Durusdinium23373	K08504
Durusdinium54392	K21440
Durusdinium18287	K10380
Durusdinium21251	K22588
Durusdinium29990	K03929
Durusdinium16074	K10860
Durusdinium109987	K10325
Durusdinium39339	K04950
Durusdinium26244	K01673
Durusdinium59747	K21862
Durusdinium34056	K15119
Durusdinium78433	K12483
Durusdinium24560	K12813
Durusdinium448	K00855
Durusdinium77056	K01792
Durusdinium14179	K06130
Durusdinium918	K04851
Durusdinium20366	K15047
Durusdinium108382	K01784
Durusdinium72107	K03178
Durusdinium111939	K25532
Durusdinium76341	K01265
Durusdinium37625	K02952
Durusdinium113648	K24682
Durusdinium34928	K10408
Durusdinium92605	K14797
Durusdinium72293	K00029
Durusdinium11291	K13667
Durusdinium30625	K02601
Durusdinium84019	K00434
Durusdinium3190	K12837
Durusdinium38274	K05765
Durusdinium7299	K10597
Durusdinium75805	K03686
Durusdinium8059	K01265
Durusdinium23734	K19525
Durusdinium85020	K12443
Durusdinium4075	K17964
Durusdinium2331	K02998
Durusdinium11827	K00924
Durusdinium108170	K24680
Durusdinium24277	K02639
Durusdinium8707	K12460
Durusdinium3590	K00485
Durusdinium29969	K24761
Durusdinium32527	K12436
Durusdinium27730	K00624
Durusdinium49839	K05849
Durusdinium108976	K04905
Durusdinium8009	K15378
Durusdinium12102	K01601
Durusdinium7737	K13412
Durusdinium4126	K07374
Durusdinium29973	K14564
Durusdinium74182	K06948
Durusdinium9749	K22763
Durusdinium111450	K02971
Durusdinium19550	K04950
Durusdinium62513	K04885
Durusdinium6893	K07115
Durusdinium983	K19367
Durusdinium34287	K02732
Durusdinium84863	K13354
Durusdinium74528	K06990
Durusdinium1242	K04309
Durusdinium6420	K09874
Durusdinium107543	K07874
Durusdinium11953	K18764
Durusdinium67099	K08711
Durusdinium12449	K09181
Durusdinium8314	K06180
Durusdinium105091	K10408
Durusdinium51360	K02947
Durusdinium72801	K00281
Durusdinium107040	K02523
Durusdinium108673	K08869
Durusdinium63434	K23727
Durusdinium109281	K02183
Durusdinium75917	K23025
Durusdinium13344	K09420
Durusdinium50143	K12275
Durusdinium83471	K07126
Durusdinium15961	K07407
Durusdinium96984	K15516
Durusdinium49703	K05864
Durusdinium22054	K06213
Durusdinium1307	K22769
Durusdinium60187	K14326
Durusdinium60253	K12198
Durusdinium76371	K01870
Durusdinium50283	K10357
Durusdinium3791	K04905
Durusdinium80413	K18081
Durusdinium59723	K20291
Durusdinium95638	K21806
Durusdinium8418	K23048
Durusdinium11937	K11127
Durusdinium13955	K13412
Durusdinium4572	K07376
Durusdinium115098	K01255
Durusdinium95358	K14003
Durusdinium7312	K19998
Durusdinium10898	K02183
Durusdinium95550	K03437
Durusdinium13788	K14156
Durusdinium8244	K00472
Durusdinium95354	K11153
Durusdinium4812	K10268
Durusdinium3698	K08582
Durusdinium28883	K10380
Durusdinium98652	K09503
Durusdinium77818	K12179
Durusdinium64362	K02150
Durusdinium63862	K07359
Durusdinium96950	K05016
Durusdinium94682	K00265
Durusdinium109937	K08794
Durusdinium9630	K01491
Durusdinium38083	K11971
Durusdinium61943	K16289
Durusdinium20400	K04908
Durusdinium85216	K03218
Durusdinium8593	K23628
Durusdinium97289	K00721
Durusdinium10755	K08332
Durusdinium83071	K10587
Durusdinium24531	K02877
Durusdinium8554	K06928
Durusdinium15103	K08745
Durusdinium57451	K18758
Durusdinium6884	K10615
Durusdinium61354	K00130
Durusdinium5637	K12603
Durusdinium19414	K21064
Durusdinium72464	K03281
Durusdinium74941	K20027
Durusdinium50612	K05531
Durusdinium11687	K15042
Durusdinium18838	K01053
Durusdinium61966	K12389
Durusdinium63925	K00228
Durusdinium21364	K25026
Durusdinium62648	K02730
Durusdinium2442	K10380
Durusdinium3138	K13526
Durusdinium7891	K19525
Durusdinium104912	K02503
Durusdinium8506	K05010
Durusdinium7867	K24976
Durusdinium21804	K12319
Durusdinium95481	K10407
Durusdinium2449	K04957
Durusdinium60238	K11136
Durusdinium15649	K04739
Durusdinium9189	K13118
Durusdinium1833	K03165
Durusdinium97587	K00006
Durusdinium3627	K12492
Durusdinium13870	K03307
Durusdinium47330	K13412
Durusdinium75184	K10406
Durusdinium28120	K00564
Durusdinium68672	K22182
Durusdinium5338	K21440
Durusdinium109290	K06901
Durusdinium20605	K03686
Durusdinium6288	K01265
Durusdinium15792	K05012
Durusdinium61763	K10380
Durusdinium72877	K05665
Durusdinium1167	K00889
Durusdinium4294	K17584
Durusdinium107672	K16748
Durusdinium38358	K00239
Durusdinium53154	K04908
Durusdinium72771	K18693
Durusdinium48893	K12850
Durusdinium8993	K12132
Durusdinium15554	K14376
Durusdinium14010	K17964
Durusdinium50936	K00812
Durusdinium12673	K12442
Durusdinium5320	K10380
Durusdinium42635	K00799
Durusdinium8365	K14326
Durusdinium32847	K02040
Durusdinium108281	K21440
Durusdinium107394	K04849
Durusdinium5311	K04840
Durusdinium109838	K02895
Durusdinium109770	K08960
Durusdinium12725	K10380
Durusdinium23782	K03260
Durusdinium96218	K07934
Durusdinium60691	K17278
Durusdinium62222	K11971
Durusdinium27611	K06269
Durusdinium75464	K14802
Durusdinium54009	K10419
Durusdinium73268	K11798
Durusdinium71783	K10380
Durusdinium106560	K05841
Durusdinium5010	K17943
Durusdinium84583	K10577
Durusdinium3937	K13412
Durusdinium5159	K25401
Durusdinium98872	K00472
Durusdinium17674	K15111
Durusdinium52513	K24926
Durusdinium113761	K00294
Durusdinium66943	K01950
Durusdinium24983	K00939
Durusdinium100018	K04853
Durusdinium71450	K25059
Durusdinium83566	K22614
Durusdinium1169	K15030
Durusdinium92090	K25866
Durusdinium880	K24925
Durusdinium104513	K00325
Durusdinium97598	K06631
Durusdinium8404	K14376
Durusdinium104673	K25162
Durusdinium95058	K01784
Durusdinium22898	K03234
Durusdinium17648	K01054
Durusdinium66757	K03671
Durusdinium103846	K01966
Durusdinium109526	K10389
Durusdinium60790	K24810
Durusdinium16172	K01279
Durusdinium75821	K19709
Durusdinium95752	K00574
Durusdinium5530	K19045
Durusdinium60562	K04771
Durusdinium14038	K22614
Durusdinium3731	K08582
Durusdinium103904	K00012
Durusdinium110564	K22763
Durusdinium3557	K01610
Durusdinium29793	K17268
Durusdinium42228	K14572
Durusdinium72196	K00643
Durusdinium18767	K14861
Durusdinium105716	K00820
Durusdinium63480	K10408
Durusdinium62450	K03860
Durusdinium68933	K14565
Durusdinium85170	K16462
Durusdinium59999	K14026
Durusdinium22625	K17508
Durusdinium4818	K22762
Durusdinium4694	K00772
Durusdinium64108	K14787
Durusdinium194	K00933
Durusdinium925	K15117
Durusdinium14551	K04392
Durusdinium6252	K02328
Durusdinium73652	K22833
Durusdinium107695	K19519
Durusdinium57120	K10599
Durusdinium71839	K22698
Durusdinium51722	K00232
Durusdinium102641	K10691
Durusdinium24376	K04855
Durusdinium22804	K11804
Durusdinium106644	K04834
Durusdinium4790	K00232
Durusdinium22609	K04124
Durusdinium107784	K21573
Durusdinium18760	K01674
Durusdinium85790	K14852
Durusdinium6629	K07466
Durusdinium111447	K12166
Durusdinium83359	K10659
Durusdinium106752	K13293
Durusdinium106874	K01408
Durusdinium61850	K03083
Durusdinium51701	K06129
Durusdinium60946	K14026
Durusdinium16630	K17943
Durusdinium55304	K11624
Durusdinium84465	K23796
Durusdinium73543	K11594
Durusdinium21849	K04461
Durusdinium49123	K05349
Durusdinium4224	K24936
Durusdinium11418	K23802
Durusdinium38980	K17338
Durusdinium16802	K02891
Durusdinium72232	K01551
Durusdinium24709	K11857
Durusdinium96955	K06268
Durusdinium7429	K11997
Durusdinium95133	K08764
Durusdinium16804	K04371
Durusdinium21186	K12195
Durusdinium62410	K18932
Durusdinium97472	K01054
Durusdinium11498	K12373
Durusdinium13821	K15032
Durusdinium94605	K02739
Durusdinium50960	K22940
Durusdinium99723	K05019
Durusdinium11386	K03524
Durusdinium54527	K18663
Durusdinium142	K06180
Durusdinium112302	K00699
Durusdinium75045	K14997
Durusdinium29662	K01006
Durusdinium31104	K00128
Durusdinium100380	K19405
Durusdinium20672	K18643
Durusdinium21776	K09580
Durusdinium44938	K12373
Durusdinium96084	K10649
Durusdinium99397	K02183
Durusdinium107646	K16675
Durusdinium64708	K10357
Durusdinium109352	K14963
Durusdinium110070	K09522
Durusdinium26729	K03094
Durusdinium108405	K01103
Durusdinium39019	K12856
Durusdinium19104	K19348
Durusdinium109785	K00645
Durusdinium12257	K06287
Durusdinium13096	K10380
Durusdinium83517	K10799
Durusdinium115791	K03106
Durusdinium73074	K15837
Durusdinium52346	K14026
Durusdinium86610	K05592
Durusdinium25045	K10380
Durusdinium22855	K02603
Durusdinium8211	K05667
Durusdinium77360	K02736
Durusdinium12134	K10421
Durusdinium5444	K12663
Durusdinium72128	K03833
Durusdinium8948	K10683
Durusdinium83875	K14819
Durusdinium2168	K04955
Durusdinium73297	K02735
Durusdinium86375	K02959
Durusdinium52029	K08287
Durusdinium19354	K03113
Durusdinium16091	K10407
Durusdinium18357	K08287
Durusdinium1950	K04739
Durusdinium51940	K14652
Durusdinium110172	K11412
Durusdinium77612	K09527
Durusdinium73480	K12160
Durusdinium74012	K05389
Durusdinium50540	K23040
Durusdinium14330	K13354
Durusdinium85825	K18740
Durusdinium80996	K00477
Durusdinium10665	K22809
Durusdinium15704	K00012
Durusdinium3434	K11547
Durusdinium49058	K24942
Durusdinium51474	K19199
Durusdinium59951	K06179
Durusdinium47583	K13513
Durusdinium48665	K21989
Durusdinium95786	K17616
Durusdinium7507	K04842
Durusdinium49285	K04854
Durusdinium16647	K10575
Durusdinium9663	K19613
Durusdinium16273	K18208
Durusdinium72353	K02867
Durusdinium7444	K00382
Durusdinium4304	K14567
Durusdinium14128	K09584
Durusdinium26625	K06180
Durusdinium109843	K10394
Durusdinium107348	K09014
Durusdinium20102	K14338
Durusdinium23535	K06178
Durusdinium96855	K01955
Durusdinium43014	K11354
Durusdinium597	K02865
Durusdinium30854	K24473
Durusdinium8166	K01889
Durusdinium83166	K00476
Durusdinium17397	K02147
Durusdinium3682	K13526
Durusdinium115845	K01637
Durusdinium94920	K00088
Durusdinium8607	K13861
Durusdinium7747	K03574
Durusdinium10645	K05175
Durusdinium64608	K10398
Durusdinium97626	K16462
Durusdinium9231	K10380
Durusdinium35364	K02888
Durusdinium21003	K13117
Durusdinium1033	K03260
Durusdinium67490	K06269
Durusdinium48863	K10875
Durusdinium78127	K00681
Durusdinium60016	K04079
Durusdinium106615	K16075
Durusdinium476	K15303
Durusdinium959	K20466
Durusdinium10803	K03834
Durusdinium24833	K21029
Durusdinium425	K08337
Durusdinium435	K24469
Durusdinium49202	K02183
Durusdinium9895	K18798
Durusdinium13717	K03327
Durusdinium49377	K18055
Durusdinium48208	K24182
Durusdinium3176	K19882
Durusdinium2094	K15665
Durusdinium52970	K09586
Durusdinium13849	K14312
Durusdinium50349	K14016
Durusdinium95314	K20363
Durusdinium51033	K19756
Durusdinium9447	K16602
Durusdinium96500	K04739
Durusdinium10497	K17341
Durusdinium95505	K04460
Durusdinium108174	K08585
Durusdinium113110	K00869
Durusdinium17087	K04648
Durusdinium2100	K17964
Durusdinium20171	K15639
Durusdinium9141	K25166
Durusdinium108353	K08582
Durusdinium65856	K05755
Durusdinium27797	K04047
Durusdinium18213	K16360
Durusdinium14366	K22763
Durusdinium85077	K01663
Durusdinium11457	K10380
Durusdinium19144	K03462
Durusdinium108876	K05794
Durusdinium74195	K00645
Durusdinium22939	K15013
Durusdinium98665	K17861
Durusdinium43700	K01802
Durusdinium675	K07376
Durusdinium50001	K12898
Durusdinium83381	K00910
Durusdinium109093	K22684
Durusdinium95823	K12117
Durusdinium117056	K15042
Durusdinium8906	K07198
Durusdinium2694	K07517
Durusdinium113666	K16449
Durusdinium84026	K00265
Durusdinium4174	K08740
Durusdinium22053	K04849
Durusdinium109388	K05681
Durusdinium95399	K19329
Durusdinium60513	K11295
Durusdinium27316	K03263
Durusdinium112030	K02685
Durusdinium69889	K19307
Durusdinium98616	K00889
Durusdinium60839	K17275
Durusdinium86092	K03320
Durusdinium86619	K03115
Durusdinium73117	K03236
Durusdinium28698	K20224
Durusdinium6930	K18041
Durusdinium2890	K10407
Durusdinium22181	K04994
Durusdinium19767	K13102
Durusdinium110962	K15865
Durusdinium95192	K12443
Durusdinium8193	K14209
Durusdinium13392	K03827
Durusdinium87719	K02885
Durusdinium20628	K00948
Durusdinium84255	K22048
Durusdinium5304	K02737
Durusdinium61659	K01772
Durusdinium82275	K01322
Durusdinium85707	K00029
Durusdinium19753	K04990
Durusdinium74772	K21952
Durusdinium10235	K19360
Durusdinium83602	K18468
Durusdinium71686	K15196
Durusdinium62453	K00002
Durusdinium6569	K07090
Durusdinium96018	K02154
Durusdinium98341	K15181
Durusdinium74987	K12483
Durusdinium83085	K14771
Durusdinium73085	K22133
Durusdinium85179	K20292
Durusdinium94706	K00031
Durusdinium91233	K22804
Durusdinium9870	K21866
Durusdinium92550	K03635
Durusdinium17544	K16608
Durusdinium30916	K09523
Durusdinium112057	K10601
Durusdinium2653	K04855
Durusdinium108639	K19041
Durusdinium49936	K12845
Durusdinium5923	K01210
Durusdinium60568	K05534
Durusdinium481	K22522
Durusdinium43903	K22262
Durusdinium11050	K17278
Durusdinium107160	K04688
Durusdinium55340	K00611
Durusdinium76379	K19613
Durusdinium21313	K10380
Durusdinium84852	K10604
Durusdinium73982	K07439
Durusdinium11161	K00921
Durusdinium5131	K08073
Durusdinium63050	K18826
Durusdinium52291	K09510
Durusdinium20336	K08794
Durusdinium110531	K00815
Durusdinium71445	K02725
Durusdinium49571	K10457
Durusdinium18831	K12450
Durusdinium18368	K05653
Durusdinium48827	K01537
Durusdinium95125	K19761
Durusdinium669	K01007
Durusdinium83969	K24790
Durusdinium83641	K19372
Durusdinium2529	K03083
Durusdinium11080	K22372
Durusdinium2608	K06689
Durusdinium104705	K06699
Durusdinium86265	K02293
Durusdinium48883	K10358
Durusdinium97580	K15259
Durusdinium16407	K15333
Durusdinium13338	K13412
Durusdinium5025	K01869
Durusdinium3320	K13412
Durusdinium83143	K01714
Durusdinium86352	K00003
Durusdinium70694	K13411
Durusdinium97295	K00889
Durusdinium11698	K03676
Durusdinium71753	K10380
Durusdinium49612	K12524
Durusdinium79275	K15281
Durusdinium32011	K01256
Durusdinium51401	K00381
Durusdinium27980	K24068
Durusdinium107909	K03686
Durusdinium96704	K22614
Durusdinium6147	K24683
Durusdinium19991	K01528
Durusdinium74451	K01535
Durusdinium19556	K22523
Durusdinium7214	K10380
Durusdinium94879	K25395
Durusdinium41851	K00993
Durusdinium94948	K02879
Durusdinium20934	K04345
Durusdinium42506	K00922
Durusdinium9052	K24473
Durusdinium83552	K00609
Durusdinium84750	K04371
Durusdinium10087	K14293
Durusdinium13526	K00826
Durusdinium21616	K06130
Durusdinium39368	K11836
Durusdinium10506	K24469
Durusdinium61611	K04043
Durusdinium2406	K01135
Durusdinium73670	K00281
Durusdinium74129	K06875
Durusdinium84011	K01835
Durusdinium4107	K14457
Durusdinium16095	K10380
Durusdinium95715	K04780
Durusdinium106539	K10380
Durusdinium19872	K10746
Durusdinium2824	K00106
Durusdinium5260	K00799
Durusdinium6337	K17943
Durusdinium107504	K04487
Durusdinium86292	K05794
Durusdinium75702	K13953
Durusdinium73038	K13412
Durusdinium59746	K10799
Durusdinium49637	K02151
Durusdinium51284	K14006
Durusdinium15605	K07114
Durusdinium16253	K08486
Durusdinium24173	K10635
Durusdinium11158	K13102
Durusdinium18781	K00002
Durusdinium71736	K08711
Durusdinium83851	K17943
Durusdinium31095	K06180
Durusdinium71700	K01410
Durusdinium74581	K13987
Durusdinium107537	K04855
Durusdinium65089	K18055
Durusdinium14118	K05791
Durusdinium107769	K22381
Durusdinium73767	K01662
Durusdinium48294	K03010
Durusdinium23973	K05516
Durusdinium107475	K02945
Durusdinium54685	K01802
Durusdinium90537	K13431
Durusdinium63721	K09488
Durusdinium72948	K01885
Durusdinium73771	K24939
Durusdinium63355	K21248
Durusdinium83026	K18595
Durusdinium95608	K04843
Durusdinium78505	K23569
Durusdinium72423	K25079
Durusdinium108829	K20523
Durusdinium65389	K01897
Durusdinium16370	K03232
Durusdinium12950	K10967
Durusdinium15444	K06180
Durusdinium14630	K22943
Durusdinium8913	K04079
Durusdinium9998	K15333
Durusdinium107738	K19603
Durusdinium51213	K14548
Durusdinium72188	K05349
Durusdinium62904	K06676
Durusdinium67277	K20347
Durusdinium86725	K11991
Durusdinium2676	K12132
Durusdinium49239	K03152
Durusdinium153	K03453
Durusdinium12513	K10380
Durusdinium4380	K02206
Durusdinium4192	K06515
Durusdinium83833	K18050
Durusdinium75989	K00311
Durusdinium15807	K24996
Durusdinium85432	K17260
Durusdinium53665	K26157
Durusdinium86054	K02878
Durusdinium112013	K12879
Durusdinium23126	K19755
Durusdinium63880	K24418
Durusdinium8160	K09514
Durusdinium47456	K11450
Durusdinium110858	K06269
Durusdinium17271	K13412
Durusdinium61258	K24842
Durusdinium85156	K10464
Durusdinium86207	K04043
Durusdinium81162	K06902
Durusdinium60636	K04955
Durusdinium84229	K05534
Durusdinium107469	K01228
Durusdinium18202	K14379
Durusdinium3331	K00232
Durusdinium95081	K01120
Durusdinium109916	K06618
Durusdinium107427	K09648
Durusdinium103034	K07514
Durusdinium10941	K02219
Durusdinium9274	K01758
Durusdinium96613	K03247
Durusdinium11927	K09273
Durusdinium8721	K00972
Durusdinium12112	K08193
Durusdinium83289	K10408
Durusdinium113062	K03010
Durusdinium40746	K10380
Durusdinium110099	K03237
Durusdinium1085	K01834
Durusdinium35792	K12831
Durusdinium7370	K04834
Durusdinium22587	K01250
Durusdinium43973	K01673
Durusdinium71597	K00503
Durusdinium901	K02183
Durusdinium3780	K26006
Durusdinium94976	K02218
Durusdinium84007	K08209
Durusdinium88268	K01937
Durusdinium73792	K01001
Durusdinium95999	K16575
Durusdinium6268	K06276
Durusdinium48277	K04648
Durusdinium87770	K00500
Durusdinium110142	K01619
Durusdinium5593	K10406
Durusdinium168	K10808
Durusdinium49617	K08997
Durusdinium5817	K04955
Durusdinium20406	K09507
Durusdinium14373	K11293
Durusdinium7109	K15112
Durusdinium107951	K03678
Durusdinium69243	K18200
Durusdinium4872	K14442
Durusdinium7055	K06213
Durusdinium21584	K09580
Durusdinium49640	K14004
Durusdinium10158	K19760
Durusdinium113027	K13412
Durusdinium28224	K11366
Durusdinium8031	K02183
Durusdinium5242	K03686
Durusdinium37980	K09582
Durusdinium86867	K13412
Durusdinium5315	K01724
Durusdinium84155	K25471
Durusdinium43718	K19676
Durusdinium73048	K04849
Durusdinium106665	K22200
Durusdinium96786	K02145
Durusdinium23128	K02703
Durusdinium10320	K03686
Durusdinium26337	K19360
Durusdinium52822	K08819
Durusdinium110364	K17553
Durusdinium99439	K04459
Durusdinium48852	K04955
Durusdinium7116	K08912
Durusdinium37738	K03040
Durusdinium49969	K00362
Durusdinium8622	K17290
Durusdinium10522	K08585
Durusdinium12320	K00254
Durusdinium15660	K08798
Durusdinium2790	K03320
Durusdinium54453	K03496
Durusdinium19456	K02641
Durusdinium24809	K01759
Durusdinium108573	K19519
Durusdinium84217	K10843
Durusdinium17300	K12486
Durusdinium50740	K01692
Durusdinium11678	K10747
Durusdinium8673	K01404
Durusdinium116621	K01924
Durusdinium63890	K10768
Durusdinium51548	K02863
Durusdinium56881	K16055
Durusdinium18185	K04771
Durusdinium37242	K01939
Durusdinium77402	K00006
Durusdinium12919	K19947
Durusdinium9417	K12460
Durusdinium50418	K17795
Durusdinium8581	K01139
Durusdinium14607	K01262
Durusdinium11331	K15692
Durusdinium52318	K15100
Durusdinium107405	K12132
Durusdinium48840	K01870
Durusdinium51523	K01768
Durusdinium94953	K11550
Durusdinium48986	K03798
Durusdinium65609	K09580
Durusdinium52910	K02981
Durusdinium17393	K07874
Durusdinium60417	K08056
Durusdinium49835	K13649
Durusdinium49845	K10277
Durusdinium16465	K01069
Durusdinium48546	K06013
Durusdinium27776	K10380
Durusdinium28475	K04958
Durusdinium50800	K04840
Durusdinium49131	K07300
Durusdinium10419	K12132
Durusdinium23810	K11206
Durusdinium5290	K02087
Durusdinium59877	K14963
Durusdinium85660	K10380
Durusdinium27757	K16726
Durusdinium19736	K07921
Durusdinium113244	K13525
Durusdinium10187	K24205
Durusdinium8769	K01514
Durusdinium3080	K12618
Durusdinium34851	K10357
Durusdinium21881	K10251
Durusdinium39062	K00272
Durusdinium15498	K10579
Durusdinium2008	K12132
Durusdinium86287	K02183
Durusdinium5578	K06443
Durusdinium64133	K06877
Durusdinium3935	K22382
Durusdinium7462	K18551
Durusdinium957	K04852
Durusdinium53163	K23490
Durusdinium47940	K15104
Durusdinium13105	K12795
Durusdinium86937	K06901
Durusdinium106719	K06669
Durusdinium61005	K24887
Durusdinium896	K10859
Durusdinium46166	K07901
Durusdinium7840	K12188
Durusdinium13124	K10380
Durusdinium7759	K16914
Durusdinium21984	K03011
Durusdinium60202	K16603
Durusdinium23520	K21862
Durusdinium110291	K08339
Durusdinium60543	K13412
Durusdinium86335	K25819
Durusdinium24544	K01802
Durusdinium20635	K11481
Durusdinium60286	K08857
Durusdinium38812	K00569
Durusdinium12525	K03320
Durusdinium9915	K15505
Durusdinium6246	K16284
Durusdinium48638	K05349
Durusdinium24361	K21396
Durusdinium37083	K02863
Durusdinium65	K14007
Durusdinium87995	K07409
Durusdinium96738	K08229
Durusdinium23079	K08762
Durusdinium110509	K14545
Durusdinium95741	K04841
Durusdinium28194	K23257
Durusdinium55039	K09488
Durusdinium109527	K01872
Durusdinium12879	K22763
Durusdinium100021	K07376
Durusdinium29263	K02256
Durusdinium97258	K14950
Durusdinium12531	K04461
Durusdinium10012	K22614
Durusdinium8793	K10807
Durusdinium28145	K00797
Durusdinium4263	K00486
Durusdinium6093	K01438
Durusdinium251	K01803
Durusdinium8326	K08770
Durusdinium110045	K15101
Durusdinium112120	K17796
Durusdinium85029	K00078
Durusdinium7359	K16675
Durusdinium12927	K02293
Durusdinium72739	K02440
Durusdinium107739	K12888
Durusdinium83476	K10587
Durusdinium79054	K02503
Durusdinium60258	K00249
Durusdinium110002	K07114
Durusdinium84655	K07937
Durusdinium71786	K24757
Durusdinium73139	K06176
Durusdinium18278	K10380
Durusdinium21032	K22848
Durusdinium83954	K10256
Durusdinium62444	K08059
Durusdinium45202	K11306
Durusdinium609	K16726
Durusdinium18323	K09515
Durusdinium61579	K20242
Durusdinium86390	K20027
Durusdinium48283	K05841
Durusdinium10695	K10577
Durusdinium60107	K15503
Durusdinium86001	K09571
Durusdinium13293	K10380
Durusdinium97213	K13106
Durusdinium3369	K08287
Durusdinium46882	K03781
Durusdinium17221	K10614
Durusdinium2357	K04860
Durusdinium100275	K16639
Durusdinium506	K20715
Durusdinium368	K01520
Durusdinium50154	K07759
Durusdinium109125	K05592
Durusdinium8887	K25829
Durusdinium63894	K03841
Durusdinium15494	K10380
Durusdinium83433	K00819
Durusdinium23884	K14648
Durusdinium4006	K00710
Durusdinium49135	K01176
Durusdinium20194	K09667
Durusdinium5009	K23002
Durusdinium84062	K21440
Durusdinium2355	K01006
Durusdinium48243	K01897
Durusdinium51124	K12823
Durusdinium98592	K24113
Durusdinium27206	K16726
Durusdinium72163	K06515
Durusdinium244	K06643
Durusdinium63186	K08711
Durusdinium86127	K10420
Durusdinium2455	K13412
Durusdinium8857	K16603
Durusdinium16036	K01934
Durusdinium20054	K20030
Durusdinium72783	K08794
Durusdinium94832	K01408
Durusdinium18131	K09503
Durusdinium59941	K22503
Durusdinium3194	K12343
Durusdinium18985	K14826
Durusdinium36399	K11209
Durusdinium97725	K01760
Durusdinium49158	K04348
Durusdinium17576	K00898
Durusdinium72084	K01776
Durusdinium25347	K15445
Durusdinium34085	K08869
Durusdinium11035	K07874
Durusdinium101091	K03253
Durusdinium31249	K06178
Durusdinium50749	K14552
Durusdinium115324	K11644
Durusdinium38288	K05643
Durusdinium2810	K03798
Durusdinium336	K02877
Durusdinium84193	K03165
Durusdinium10387	K15402
Durusdinium59961	K07766
Durusdinium3097	K05110
Durusdinium3694	K02976
Durusdinium96300	K04885
Durusdinium73357	K18201
Durusdinium11942	K11392
Durusdinium72585	K04841
Durusdinium19270	K14539
Durusdinium24297	K20718
Durusdinium36599	K03235
Durusdinium16616	K11855
Durusdinium16991	K05290
Durusdinium49827	K23564
Durusdinium25820	K14442
Durusdinium1432	K07636
Durusdinium15275	K00545
Durusdinium51675	K17616
Durusdinium15612	K16219
Durusdinium107204	K19199
Durusdinium66328	K07889
Durusdinium15856	K15278
Durusdinium3565	K02088
Durusdinium99909	K05849
Durusdinium49639	K19760
Durusdinium1676	K03869
Durusdinium156	K10799
Durusdinium94718	K05849
Durusdinium73992	K04908
Durusdinium6245	K00079
Durusdinium3423	K14550
Durusdinium97035	K15503
Durusdinium7200	K07375
Durusdinium21507	K06544
Durusdinium83367	K10380
Durusdinium47067	K01696
Durusdinium5548	K11982
Durusdinium18340	K13411
Durusdinium46046	K03782
Durusdinium96225	K14990
Durusdinium26230	K01025
Durusdinium14161	K08770
Durusdinium22524	K18384
Durusdinium84694	K07937
Durusdinium66874	K01940
Durusdinium15622	K08106
Durusdinium60484	K01759
Durusdinium16887	K22857
Durusdinium18629	K07404
Durusdinium11079	K06794
Durusdinium20479	K12483
Durusdinium1447	K21989
Durusdinium26077	K03348
Durusdinium42512	K23330
Durusdinium5659	K10380
Durusdinium45291	K10408
Durusdinium15636	K24485
Durusdinium1913	K08857
Durusdinium91259	K08715
Durusdinium51008	K16545
Durusdinium72674	K12117
Durusdinium48169	K18460
Durusdinium86114	K03061
Durusdinium38618	K14663
Durusdinium47992	K04508
Durusdinium5851	K16458
Durusdinium86952	K03327
Durusdinium83142	K04905
Durusdinium24393	K06240
Durusdinium95322	K14963
Durusdinium2617	K03175
Durusdinium1145	K04840
Durusdinium106552	K21440
Durusdinium107117	K15042
Durusdinium49128	K00078
Durusdinium63709	K11594
Durusdinium55849	K02900
Durusdinium107877	K02564
Durusdinium13329	K05791
Durusdinium110563	K01649
Durusdinium95845	K12891
Durusdinium48656	K23330
Durusdinium60018	K14554
Durusdinium6832	K08762
Durusdinium25972	K10277
Durusdinium62518	K01658
Durusdinium21726	K11717
Durusdinium83080	K10380
Durusdinium108430	K11816
Durusdinium76106	K01057
Durusdinium98754	K08343
Durusdinium106630	K10380
Durusdinium17563	K10380
Durusdinium107587	K01074
Durusdinium54755	K25792
Durusdinium108031	K09502
Durusdinium11106	K03979
Durusdinium50216	K08826
Durusdinium16690	K08056
Durusdinium61645	K14290
Durusdinium17360	K15429
Durusdinium11960	K10380
Durusdinium11188	K13696
Durusdinium116804	K03555
