Durusdinium33176	potassium:proton antiporter activity
Durusdinium31309	iron-sulfur transferase activity
Durusdinium51941	cell division
Durusdinium31099	2OG-Fe(II) oxygenase superfamily
Durusdinium25466	IMP4 family U3 small nucleolar ribonucleoprotein (snoRNP)
Durusdinium38566	Prolyl 4-hydroxylase alpha subunit homologues.
Durusdinium39732	ankyrin repeats
Durusdinium41854	Regulated-SNARE-like domain
Durusdinium16255	signal release from synapse
Durusdinium19989	FHA domain
Durusdinium46923	Dynein light chain
Durusdinium28886	Binds to the 23S rRNA
Durusdinium29911	UDP-glucoronosyl and UDP-glucosyl transferase
Durusdinium26570	1-acyl-sn-glycerol-3-phosphate acyltransferase
Durusdinium30002	oxidation-reduction process
Durusdinium26011	sequence-specific DNA binding transcription factor activity
Durusdinium25017	Cellulase (glycosyl hydrolase family 5)
Durusdinium15408	ion antiporter activity involved in regulation of postsynaptic membrane potential
Durusdinium16170	Belongs to the multicopper oxidase family
Durusdinium52044	Protein tyrosine kinase
Durusdinium53440	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits
Durusdinium15634	peripheral T cell tolerance induction
Durusdinium37335	Non-specific serine threonine protein kinase
Durusdinium41688	Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2
Durusdinium29588	Oxidoreductase family, NAD-binding Rossmann fold
Durusdinium30296	ribonuclease III activity
Durusdinium22922	PFAM O-methyltransferase, family 3
Durusdinium12959	PFAM Aspartate ornithine carbamoyltransferase, carbamoyl-P binding
Durusdinium51546	mitochondrial gene expression
Durusdinium41268	Cytochrome b5-like Heme/Steroid binding domain
Durusdinium54590	50S ribosome-binding GTPase
Durusdinium11027	protein ubiquitination
Durusdinium30151	O-methyltransferase activity
Durusdinium5982	3-beta-hydroxy-delta5-steroid dehydrogenase activity
Durusdinium18430	DHHA2
Durusdinium34259	DNA-3'-diphospho-5'-guanosine diphosphatase
Durusdinium40838	fumarate reductase
Durusdinium18471	serine-type carboxypeptidase activity
Durusdinium29821	NAD-dependent histone deacetylase activity (H3-K18 specific)
Durusdinium14889	magnesium ion homeostasis
Durusdinium46240	deSI-like protein At4g17486
Durusdinium23200	aspartic-type endopeptidase activity
Durusdinium33915	polyketide synthase
Durusdinium40031	Nucleotide-sugar transporter
Durusdinium6542	alpha-1,3-glucosidase activity
Durusdinium52469	Belongs to the WD repeat SEC13 family
Durusdinium50150	Random slug cDNA-11
Durusdinium35683	-
Durusdinium10825	RING-like zinc finger
Durusdinium38666	Hsp90 protein
Durusdinium20786	Belongs to the peptidase A1 family
Durusdinium26464	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position
Durusdinium11570	PFAM RNA polymerase sigma factor 70, region 4 type 2
Durusdinium44943	Belongs to the thioredoxin family
Durusdinium13091	assists the folding of proteins upon ATP hydrolysis
Durusdinium29213	calcium-dependent cysteine-type endopeptidase activity
Durusdinium50230	molybdopterin molybdotransferase activity
Durusdinium19864	stress-induced mitochondrial fusion
Durusdinium23352	a. Source PGD
Durusdinium29	positive regulation of chromatin silencing at rDNA
Durusdinium54979	Vacuolar ATP synthase
Durusdinium19348	calmodulin-dependent protein kinase activity
Durusdinium29241	RAC-beta serine threonine-protein
Durusdinium15345	Glutamate-cysteine ligase
Durusdinium8844	dolichyl-phosphate beta-D-mannosyltransferase activity
Durusdinium31367	exonuclease mut-7 homolog
Durusdinium37220	NEDD4-like E3 ubiquitin-protein ligase WWP2
Durusdinium39988	Adenylyl- / guanylyl cyclase, catalytic domain
Durusdinium27919	septum formation protein
Durusdinium13177	guanine transport
Durusdinium28058	serine-type carboxypeptidase activity
Durusdinium40743	beta-galactosidase
Durusdinium6852	octopamine biosynthetic process
Durusdinium25815	ADP-ribosylglycohydrolase
Durusdinium39178	ATP:guanido phosphotransferase, N-terminal domain
Durusdinium44195	Belongs to the bacterial ribosomal protein bL20 family
Durusdinium379	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity
Durusdinium41035	Belongs to the RuBisCO large chain family
Durusdinium55356	Belongs to the adaptor complexes medium subunit family
Durusdinium8954	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Durusdinium46693	FH protein interacting protein
Durusdinium54409	Belongs to the DEAD box helicase family
Durusdinium36638	cAMP-dependent protein kinase regulatory subunit
Durusdinium44491	Retinol dehydrogenase 12 (all-trans and 9-cis)
Durusdinium19227	tripeptidyl-peptidase activity
Durusdinium38215	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium37909	Serine hydrolase involved in the detoxification of formaldehyde
Durusdinium13287	PFAM FKBP-type peptidyl-prolyl cis-trans isomerase
Durusdinium47213	NAD dependent epimerase/dehydratase family
Durusdinium22977	Domain of unknown function (DUF4470)
Durusdinium36593	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Durusdinium54312	ATP-dependent 5'-3' DNA helicase activity
Durusdinium11299	E3 ubiquitin-protein ligase XERICO
Durusdinium41336	Non-ribosomal peptide synthetase modules and related proteins
Durusdinium40663	SNF2 family N-terminal domain
Durusdinium38860	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Durusdinium8254	NADPH quinone reductase
Durusdinium51992	intraciliary transport involved in cilium assembly
Durusdinium1241	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Durusdinium47535	Large family of predicted nucleotide-binding domains
Durusdinium22	Phospholipid methyltransferase
Durusdinium46035	Phosphotransferase enzyme family
Durusdinium14444	-
Durusdinium24420	-
Durusdinium2990	single-stranded DNA binding
Durusdinium31518	FKBP-type peptidyl-prolyl cis-trans isomerase
Durusdinium54231	-
Durusdinium28297	Fatty acid hydroxylase superfamily
Durusdinium25407	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Durusdinium29413	macromolecule glycosylation
Durusdinium36617	-
Durusdinium35558	Baculoviral inhibition of apoptosis protein repeat
Durusdinium50107	Alpha-kinase family
Durusdinium8453	ferrochelatase activity
Durusdinium23085	3' exoribonuclease
Durusdinium44801	Rab subfamily of small GTPases
Durusdinium12271	Tetratricopeptide repeat domain containing protein
Durusdinium37546	isocitrate lyase activity
Durusdinium18144	phosphatase
Durusdinium17177	Peptidyl-prolyl cis-trans
Durusdinium693	Glycosyl transferases group 1
Durusdinium39094	oxoglutarate:malate antiporter activity
Durusdinium32222	cellular response to thyroid hormone stimulus
Durusdinium43285	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions
Durusdinium32873	Bacterial transferase hexapeptide (six repeats)
Durusdinium28921	Protein tyrosine kinase
Durusdinium39001	Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked Lys-6-linked may be involved in DNA repair
Durusdinium30183	Triose-phosphate Transporter family
Durusdinium5631	It is involved in the biological process described with protein phosphorylation
Durusdinium11643	RNA uridylyltransferase activity
Durusdinium48926	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction
Durusdinium21641	Splicing factor 3B subunit 3
Durusdinium33900	uroporphyrinogen III biosynthetic process
Durusdinium47158	thioredoxin-disulfide reductase activity
Durusdinium20313	homoserine dehydrogenase activity
Durusdinium27067	Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family
Durusdinium38898	Glutaredoxin
Durusdinium13875	chaperone
Durusdinium34660	Nucleolar complex protein
Durusdinium22561	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
Durusdinium20424	DHH family
Durusdinium18919	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
Durusdinium15071	Mitosis protein DIM1
Durusdinium7341	Peptidase family M28
Durusdinium40092	Phosphotransferase enzyme family
Durusdinium19397	phosphatase 2C
Durusdinium19561	2OG-Fe(II) oxygenase superfamily
Durusdinium40738	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
Durusdinium28870	Alpha-kinase family
Durusdinium40238	Chlorophyll A-B binding protein
Durusdinium54681	NDP-glucose-starch glucosyltransferase activity
Durusdinium52743	DNA photolyase activity
Durusdinium17216	Belongs to the universal ribosomal protein uS2 family
Durusdinium25091	Cytochrome C and Quinol oxidase polypeptide I
Durusdinium8824	Oxidoreductase
Durusdinium31092	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Durusdinium33004	-
Durusdinium10674	acetylcholine-gated cation-selective channel activity
Durusdinium37285	Alpha-1,3-glucan synthase
Durusdinium25883	Protein tyrosine kinase
Durusdinium36160	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Durusdinium27684	belongs to the protein kinase superfamily
Durusdinium16202	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin
Durusdinium52703	YGGT family
Durusdinium50329	Mitochondrial carrier protein
Durusdinium39393	pantothenate kinase 1
Durusdinium44222	Belongs to the P(II) protein family
Durusdinium40879	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6
Durusdinium31740	oxidoreductase activity
Durusdinium33452	peptidyl-prolyl cis-trans isomerase activity
Durusdinium46382	Solute carrier family 37 (glycerol-3-phosphate transporter), member 1
Durusdinium12237	ABC1 family
Durusdinium30499	receptor localization to non-motile cilium
Durusdinium26454	ferredoxin--NADP reductase
Durusdinium24703	Heat shock protein
Durusdinium20826	Archease protein family (MTH1598/TM1083)
Durusdinium21660	Cupin-like domain
Durusdinium40303	Aldehyde dehydrogenase family
Durusdinium17395	Alpha/beta hydrolase family
Durusdinium12905	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium39975	Phosphoglycerate mutase family
Durusdinium34715	Binds the poly(A) tail of mRNA. Appears to be an important mediator of the multiple roles of the poly(A) tail in mRNA biogenesis, stability and translation. In the nucleus, involved in both mRNA cleavage and polyadenylation. Is also required for efficient mRNA export to the cytoplasm. Acts in concert with a poly(A)-specific nuclease (PAN) to affect poly(A) tail shortening, which may occur concomitantly with either nucleocytoplasmic mRNA transport or translational initiation. In the cytoplasm, stimulates translation initiation and regulates mRNA decay through translation termination-coupled poly(A) shortening, probably mediated by PAN (By similarity)
Durusdinium36200	polyketide synthase
Durusdinium38275	helicase activity
Durusdinium33483	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP)
Durusdinium52143	Protein tyrosine kinase
Durusdinium31146	Bacterial lipoate protein ligase C-terminus
Durusdinium27527	Diphthamide biosynthesis
Durusdinium52897	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium3991	Thioredoxin-like
Durusdinium35572	Acyl CoA binding protein
Durusdinium22469	Eukaryotic glutathione synthase, ATP binding domain
Durusdinium10951	UDP-glucoronosyl and UDP-glucosyl transferase
Durusdinium33014	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA
Durusdinium33812	procollagen-proline 4-dioxygenase activity
Durusdinium11529	regulation of transcription by RNA polymerase I
Durusdinium32299	2OG-Fe(II) oxygenase superfamily
Durusdinium41597	PPPDE putative peptidase domain
Durusdinium11382	Belongs to the GST superfamily
Durusdinium41731	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family
Durusdinium51790	Dual specificity phosphatase, catalytic domain
Durusdinium24441	neurotransmitter:sodium symporter activity
Durusdinium26442	RNA-binding protein mei2 homologue
Durusdinium29176	chloride channel
Durusdinium18035	2-oxoglutarate malate
Durusdinium14900	RNA-binding protein mei2 homologue
Durusdinium36044	Protein of unknown function (DUF1115)
Durusdinium40535	heavy chain 1
Durusdinium28128	deSI-like protein
Durusdinium41711	Serine threonine-protein phosphatase
Durusdinium30472	N,N-dimethylaniline monooxygenase activity
Durusdinium25638	histone H3-S28 phosphorylation
Durusdinium38720	Belongs to the protein kinase superfamily
Durusdinium37700	aldehyde dehydrogenase (NAD) activity
Durusdinium37435	Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis
Durusdinium13745	Fatty acid desaturase
Durusdinium20453	Enhancer of rudimentary
Durusdinium12521	calcium:proton antiporter activity
Durusdinium21455	Cid1 family poly A polymerase
Durusdinium25765	histone-lysine N-methyltransferase, H3 lysine-9 specific
Durusdinium2190	Mitogen-activated protein kinase
Durusdinium32521	General transcription factor that functions at the core of the DNA-binding multiprotein factor TFIID. Binding of TFIID to the TATA box is the initial transcriptional step of the pre- initiation complex (PIC), playing a role in the activation of eukaryotic genes transcribed by RNA polymerase II
Durusdinium27208	Methyltransferase small domain
Durusdinium4670	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
Durusdinium33300	phosphoenolpyruvate carboxylase activity
Durusdinium29420	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium2046	transferase activity, transferring hexosyl groups
Durusdinium21868	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides
Durusdinium18600	Belongs to the peptidase C2 family
Durusdinium8458	ribosomal protein
Durusdinium40901	Chloroplast stem-loop binding protein of 41 kDa b
Durusdinium33679	UDP-N-acetylglucosamine catabolic process
Durusdinium5120	glutathione-S-transferase glutaredoxin
Durusdinium40957	positive regulation of protein localization to cilium
Durusdinium26032	Glycosyl transferase, family 25
Durusdinium15744	Mycolic acid cyclopropane synthetase
Durusdinium35156	ribosome biogenesis protein
Durusdinium49616	DnaJ molecular chaperone homology domain
Durusdinium39693	Belongs to the thiolase family
Durusdinium23275	Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily
Durusdinium6649	regulation of cardiac conduction
Durusdinium39072	metallocarboxypeptidase activity
Durusdinium12317	Belongs to the RNR ribonuclease family
Durusdinium24877	GTP-binding protein
Durusdinium12696	BTB/POZ domain
Durusdinium32453	Belongs to the peptidase S16 family
Durusdinium55069	Phosphoenolpyruvate carboxykinase ATP
Durusdinium27547	Belongs to the heat shock protein 70 family
Durusdinium35675	ABC1 family
Durusdinium3473	-
Durusdinium7084	dTDP-glucose 4,6-dehydratase activity
Durusdinium55064	phosphatase
Durusdinium33876	60s ribosomal protein
Durusdinium23595	Methyltransferase domain
Durusdinium14400	Rab geranylgeranyltransferase activity. It is involved in the biological process described with protein geranylgeranylation
Durusdinium38016	Notch signaling pathway
Durusdinium41842	Solute carrier family 8
Durusdinium1600	tRNA pseudouridine synthase
Durusdinium20050	Binds the poly(A) tail of mRNA
Durusdinium44674	endoribonuclease activity
Durusdinium5865	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A-like
Durusdinium41186	Ubiquitin-like domain
Durusdinium7564	Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins
Durusdinium47694	RING-type zinc-finger
Durusdinium28523	K48-linked polyubiquitin modification-dependent protein binding
Durusdinium22673	Belongs to the CDS family
Durusdinium12942	Armadillo/beta-catenin-like repeat
Durusdinium33543	Peptidase family M50
Durusdinium25267	Dual specificity protein phosphatase 12. Source PGD
Durusdinium25532	WW domain-containing protein
Durusdinium39385	ABC transporter
Durusdinium17125	phosphatidylinositol dephosphorylation
Durusdinium33156	cysteine-type peptidase activity
Durusdinium37811	Glycosyltransferase family 20
Durusdinium25102	Responsible for synthesis of pseudouridine from uracil
Durusdinium31467	CoA transferase having broad substrate specificity for short-chain acyl-CoA thioesters with the activity decreasing when the length of the carboxylic acid chain exceeds four carbons
Durusdinium34228	Enoyl-(Acyl carrier protein) reductase
Durusdinium10958	serine-type endopeptidase activity
Durusdinium19582	Belongs to the eukaryotic ribosomal protein eL20 family
Durusdinium52810	F-box kelch-repeat protein
Durusdinium13098	Ubiquitin specific protease 39 isoform 2
Durusdinium27910	abc transporter
Durusdinium29437	Ubiquinol-cytochrome c reductase iron-sulfur subunit
Durusdinium52616	Prokaryotic RING finger family 4
Durusdinium40753	Chlorophyll A-B binding protein
Durusdinium39557	methyltransferase activity
Durusdinium19046	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium36276	ribosomal protein
Durusdinium16033	proton-transporting ATP synthase activity, rotational mechanism
Durusdinium38282	-
Durusdinium29108	Poly(ADP-ribose) polymerase catalytic domain
Durusdinium37385	dihydrolipoyl dehydrogenase activity
Durusdinium35583	Belongs to the eukaryotic ribosomal protein eL15 family
Durusdinium4357	maintenance of protein location in nucleus
Durusdinium35879	N-terminal domain of galactosyltransferase
Durusdinium51978	alpha/beta hydrolase fold
Durusdinium3008	PFAM Endoribonuclease L-PSP
Durusdinium34217	Belongs to the PI3 PI4-kinase family
Durusdinium18506	BTB/POZ domain
Durusdinium22387	serine-type endopeptidase activity
Durusdinium38746	regulation of tocopherol cyclase activity
Durusdinium25909	polynucleotide adenylyltransferase activity
Durusdinium23955	Belongs to the peroxidase family
Durusdinium49078	Ring finger protein 38
Durusdinium25898	Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3- hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3- hydroxyanthranilic acid (3-OHAA), respectively
Durusdinium49432	Carbonyl reductase NADPH 1-like
Durusdinium17806	-
Durusdinium29606	Rhodanese-like domain
Durusdinium33199	Belongs to the ClpA ClpB family
Durusdinium38429	Dynein heavy chain, N-terminal region 1
Durusdinium9638	peptide-methionine (R)-S-oxide reductase activity
Durusdinium51678	NAD dependent epimerase/dehydratase family
Durusdinium19649	Protein transport protein Sec61
Durusdinium21580	phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Durusdinium46398	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family
Durusdinium31733	stage V sporulation protein K
Durusdinium32721	Pyridoxal phosphate phosphatase. Source PGD
Durusdinium49172	Protein phosphatase 2A homologues, catalytic domain.
Durusdinium46820	Beta-ketoacyl synthase, N-terminal domain
Durusdinium35346	Serine threonine-protein phosphatase
Durusdinium7033	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. Could also have a single-stranded nucleic acid-binding activity and could play a role in RNA and or DNA metabolism. It may also have a role in the development of malignancy and the growth progression of some tumors
Durusdinium24852	Domain of unknown function (DUF1949)
Durusdinium33184	Tubulin-tyrosine ligase family
Durusdinium55428	Calcium-dependent protein kinase
Durusdinium4532	Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity
Durusdinium38855	AAA domain
Durusdinium13772	Prp18 domain
Durusdinium31198	Protein tyrosine kinase
Durusdinium41621	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Durusdinium35744	5'-3' exonuclease
Durusdinium52732	Haloacid dehalogenase-like hydrolase
Durusdinium39616	GTPase activity
Durusdinium54552	Cyclin, C-terminal domain
Durusdinium21944	SET and MYND domain containing 3
Durusdinium32130	Potassium voltage-gated channel subfamily A member 10
Durusdinium17979	translation release factor activity
Durusdinium38704	Mitogen-activated protein kinase
Durusdinium18989	dynein complex binding
Durusdinium39240	molybdenum cofactor
Durusdinium24513	2-oxobutyrate metabolic process
Durusdinium13846	phosphopantetheine binding
Durusdinium46082	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)
Durusdinium28688	Integral membrane protein TerC
Durusdinium40316	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate
Durusdinium18653	tRNA wybutosine-synthesizing protein 2 3
Durusdinium43901	60S ribosomal protein L18
Durusdinium15960	peptide-aspartate beta-dioxygenase activity
Durusdinium15316	serine-type endopeptidase activity
Durusdinium132	Belongs to the STXBP unc-18 SEC1 family
Durusdinium42984	PFAM NAD-dependent epimerase dehydratase
Durusdinium43509	helicase activity
Durusdinium51954	BTB/POZ domain
Durusdinium15821	oxidation-reduction process
Durusdinium41588	glucose-6-phosphate dehydrogenase activity
Durusdinium18046	homolog subfamily B member
Durusdinium29759	ubiquitin ribosomal protein CEP52 fusion protein
Durusdinium37004	phosphoenolpyruvate carboxylase activity
Durusdinium52094	alanine aminotransferase
Durusdinium5516	DEAD-box ATP-dependent RNA helicase
Durusdinium35807	Suppressor-of-White-APricot splicing regulator
Durusdinium1715	Amino Acid
Durusdinium26515	Adaptin ear-binding coat-associated protein 2 (NECAP-2) isoform 2 family protein
Durusdinium52769	Radical SAM superfamily
Durusdinium46065	Replication factor C C-terminal domain
Durusdinium49016	Myb-like DNA-binding domain
Durusdinium34668	Exostosin family
Durusdinium32818	ATP-dependent RNA helicase activity
Durusdinium37576	Specifically methylates the cytosine at position 1407 (m5C1407) of 16S rRNA
Durusdinium17696	Belongs to the protein kinase superfamily
Durusdinium15242	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Durusdinium26782	mitochondrial respiratory chain complex I assembly
Durusdinium49064	Calcium-binding protein
Durusdinium52734	Protein tyrosine kinase
Durusdinium5013	Phytochelatin synthase
Durusdinium54659	Plays a role in vesicular protein sorting
Durusdinium36079	KDPG and KHG aldolase
Durusdinium6050	regulation of photosynthesis, light reaction
Durusdinium6372	IMP dehydrogenase activity
Durusdinium36596	RNA recognition motif 2 family protein
Durusdinium24042	PFAM major facilitator superfamily MFS_1
Durusdinium38423	non-ribosomal peptide synthetase
Durusdinium39516	Sodium:sulfate symporter transmembrane region
Durusdinium35280	Enoyl-(Acyl carrier protein) reductase
Durusdinium22247	O-Methyltransferase
Durusdinium25727	protein serine/threonine phosphatase activity
Durusdinium10999	Belongs to the V-ATPase proteolipid subunit family
Durusdinium46147	UDP-galactopyranose mutase
Durusdinium9538	heavy chain 17
Durusdinium10232	Lytic transglycolase
Durusdinium19447	AAA domain (dynein-related subfamily)
Durusdinium21802	Citrate transporter
Durusdinium24396	calcium-dependent cysteine-type endopeptidase activity
Durusdinium16217	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1
Durusdinium27175	Helicase associated domain (HA2)  Add an annotation
Durusdinium49118	COG0491 Zn-dependent hydrolases, including glyoxylases
Durusdinium26694	phytosphingosine metabolic process
Durusdinium8831	Belongs to the peptidase C1 family
Durusdinium21794	positive regulation of nuclear receptor transcription coactivator activity
Durusdinium37615	Ankyrin repeat
Durusdinium40188	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Durusdinium52123	serine threonine protein phosphatase
Durusdinium36807	peptidyl-asparagine hydroxylation
Durusdinium20202	microtubule anchoring
Durusdinium36373	cAMP-dependent protein kinase regulator activity
Durusdinium23507	calcium-dependent cysteine-type endopeptidase activity
Durusdinium32592	histone ubiquitination
Durusdinium48096	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
Durusdinium4208	protein refolding
Durusdinium2143	40S ribosomal protein S28
Durusdinium36019	ATPase activity
Durusdinium31274	transport system, permease and ATPase
Durusdinium40077	Serine hydrolase (FSH1)
Durusdinium37260	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Durusdinium19012	Tetratricopeptide repeat protein
Durusdinium2813	alkB, alkylation repair homolog 6 (E. coli)
Durusdinium44035	glycyl-tRNA aminoacylation
Durusdinium1762	Belongs to the peptidase A1 family
Durusdinium1921	Astacin-like metallo-endopeptidase (M12 family)
Durusdinium17863	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane
Durusdinium39684	Glycosyl transferases group 1
Durusdinium36988	oxidative phosphorylation uncoupler activity
Durusdinium52905	Ubiquitin fusion degradation
Durusdinium41866	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Durusdinium28732	metalloendopeptidase activity
Durusdinium32720	Cellulase (glycosyl hydrolase family 5)
Durusdinium5339	ribonucleoside-diphosphate reductase activity
Durusdinium26924	GH3 domain containing
Durusdinium51802	oxidoreductase activity
Durusdinium29281	Belongs to the cytochrome P450 family
Durusdinium24325	Serine/Threonine protein kinases, catalytic domain
Durusdinium4462	Serine/Threonine protein kinases, catalytic domain
Durusdinium37960	secondary active sulfate transmembrane transporter activity
Durusdinium17910	LCCL domain
Durusdinium2431	Heat shock 70 kDa protein
Durusdinium7899	protein side chain deglutamylation
Durusdinium37143	Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A (acetyl-CoA) and glyoxylate to form malate and CoA
Durusdinium20368	Belongs to the aldehyde dehydrogenase family
Durusdinium42900	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
Durusdinium22761	regulation of cilium movement
Durusdinium38062	ABC transporter
Durusdinium2778	-
Durusdinium38235	CDP-alcohol phosphatidyltransferase
Durusdinium28675	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family
Durusdinium22483	Dual specificity phosphatase, catalytic domain
Durusdinium40000	Fructose-BISphosphate ALDOLASE
Durusdinium12047	isopropylmalate transmembrane transporter activity
Durusdinium42101	Serine-type peptidase activity. It is involved in the biological process described with proteolysis
Durusdinium51637	RING-like zinc finger
Durusdinium19294	BCS1 N terminal
