Ofaveolata267237	K00627
Ofaveolata267554	K10398
Ofaveolata244914	K24963
Ofaveolata257104	K04129
Ofaveolata258615	K20994
Ofaveolata265264	K01530
Ofaveolata268883	K24936
Ofaveolata266047	K10478
Ofaveolata260752	K07855
Ofaveolata269339	K16809
Ofaveolata260531	K15361
Ofaveolata269315	K14296
Ofaveolata263790	K12319
Ofaveolata265322	K15375
Ofaveolata238613	K18435
Ofaveolata264617	K23922
Ofaveolata254988	K23909
Ofaveolata253729	K08770
Ofaveolata256686	K01020
Ofaveolata260984	K17341
Ofaveolata253581	K08547
Ofaveolata267755	K15710
Ofaveolata228552	K15837
Ofaveolata265063	K00567
Ofaveolata160291	K01020
Ofaveolata80997	K07747
Ofaveolata251422	K04307
Ofaveolata264444	K04392
Ofaveolata265736	K08202
Ofaveolata261963	K05286
Ofaveolata260430	K14072
Ofaveolata239740	K04223
Ofaveolata267010	K21797
Ofaveolata259558	K15443
Ofaveolata266165	K15595
Ofaveolata261073	K04860
Ofaveolata255646	K12389
Ofaveolata257630	K05181
Ofaveolata262630	K12567
Ofaveolata259567	K04491
Ofaveolata266545	K04688
Ofaveolata265484	K13299
Ofaveolata265235	K15375
Ofaveolata261900	K17495
Ofaveolata269605	K16741
Ofaveolata255961	K16513
Ofaveolata250521	K00008
Ofaveolata260452	K01719
Ofaveolata249997	K11338
Ofaveolata259256	K03283
Ofaveolata256573	K06047
Ofaveolata257725	K06754
Ofaveolata261014	K04249
Ofaveolata265415	K18849
Ofaveolata258045	K24469
Ofaveolata259982	K01301
Ofaveolata6693	K06269
Ofaveolata263847	K10454
Ofaveolata265755	K01022
Ofaveolata266944	K13578
Ofaveolata259280	K07497
Ofaveolata268610	K20225
Ofaveolata157553	K07497
Ofaveolata251557	K08637
Ofaveolata233119	K15015
Ofaveolata215812	K05692
Ofaveolata255683	K12474
Ofaveolata187788	K08770
Ofaveolata259529	K08136
Ofaveolata264343	K24070
Ofaveolata228652	K24469
Ofaveolata263280	K00852
Ofaveolata443	K04615
Ofaveolata260566	K09448
Ofaveolata263596	K16762
Ofaveolata240053	K24298
Ofaveolata265716	K24627
Ofaveolata263903	K22888
Ofaveolata267858	K25421
Ofaveolata248944	K10274
Ofaveolata246708	K07195
Ofaveolata243866	K02128
Ofaveolata260877	K05676
Ofaveolata256208	K24469
Ofaveolata264002	K10642
Ofaveolata269507	K11718
Ofaveolata247928	K18497
Ofaveolata265462	K01764
Ofaveolata161843	K02870
Ofaveolata25594	K20995
Ofaveolata263260	K02030
Ofaveolata257593	K04814
Ofaveolata256433	K07921
Ofaveolata268910	K10454
Ofaveolata225740	K01940
Ofaveolata227218	K07901
Ofaveolata213522	K08375
Ofaveolata266252	K19949
Ofaveolata265218	K08105
Ofaveolata263925	K12837
Ofaveolata262465	K19868
Ofaveolata268748	K09657
Ofaveolata269489	K11839
Ofaveolata260574	K19755
Ofaveolata264336	K25356
Ofaveolata243743	K09637
Ofaveolata265665	K12035
Ofaveolata251844	K05901
Ofaveolata253712	K08465
Ofaveolata262694	K06558
Ofaveolata256101	K25101
Ofaveolata264131	K14315
Ofaveolata261541	K11270
Ofaveolata245981	K08187
Ofaveolata236868	K24502
Ofaveolata269650	K12387
Ofaveolata254819	K12856
Ofaveolata238865	K03231
Ofaveolata264251	K10839
Ofaveolata265299	K23624
Ofaveolata241282	K01510
Ofaveolata260021	K06236
Ofaveolata267124	K07905
Ofaveolata269472	K23210
Ofaveolata247198	K04160
Ofaveolata268273	K01194
Ofaveolata265001	K20635
Ofaveolata263751	K18670
Ofaveolata907826	K24464
Ofaveolata259459	K05606
Ofaveolata260516	K15014
Ofaveolata236899	K00876
Ofaveolata268114	K22125
Ofaveolata264764	K03681
Ofaveolata255020	K05673
Ofaveolata251968	K07497
Ofaveolata238341	K08341
Ofaveolata267650	K08878
Ofaveolata269258	K22900
Ofaveolata266065	K24125
Ofaveolata251478	K24134
Ofaveolata264212	K16892
Ofaveolata239185	K22614
Ofaveolata263300	K04398
Ofaveolata254382	K10176
Ofaveolata135913	K08770
Ofaveolata262976	K12735
Ofaveolata268259	K19748
Ofaveolata263380	K20899
Ofaveolata266409	K05095
Ofaveolata262648	K24633
Ofaveolata20805	K15837
Ofaveolata256436	K12847
Ofaveolata259535	K04598
Ofaveolata239696	K02882
Ofaveolata255817	K22790
Ofaveolata265880	K05011
Ofaveolata249196	K14456
Ofaveolata248193	K09067
Ofaveolata244340	K18933
Ofaveolata254660	K10949
Ofaveolata269330	K12805
Ofaveolata261862	K14388
Ofaveolata256405	K08076
Ofaveolata244016	K24684
Ofaveolata258976	K23622
Ofaveolata245115	K12563
Ofaveolata215471	K01624
Ofaveolata263623	K18592
Ofaveolata266608	K13345
Ofaveolata259597	K12173
Ofaveolata260759	K06793
Ofaveolata246854	K03264
Ofaveolata257435	K09487
Ofaveolata259079	K18261
Ofaveolata227503	K22182
Ofaveolata178584	K04153
Ofaveolata256307	K02183
Ofaveolata256275	K04662
Ofaveolata216450	K24464
Ofaveolata263958	K00710
Ofaveolata254240	K24686
Ofaveolata257056	K04150
Ofaveolata269424	K10642
Ofaveolata249084	K02295
Ofaveolata257782	K24224
Ofaveolata263249	K22370
Ofaveolata220505	K17778
Ofaveolata1589921	K13624
Ofaveolata77671	K01017
Ofaveolata267558	K03165
Ofaveolata255979	K01102
Ofaveolata253617	K23544
Ofaveolata254462	K24835
Ofaveolata258744	K09524
Ofaveolata259173	K10656
Ofaveolata262424	K18449
Ofaveolata266675	K20865
Ofaveolata203376	K08547
Ofaveolata269260	K08624
Ofaveolata269519	K19360
Ofaveolata263715	K07869
Ofaveolata267724	K20369
Ofaveolata248917	K01310
Ofaveolata264358	K00721
Ofaveolata237622	K11969
Ofaveolata140712	K20908
Ofaveolata268739	K20689
Ofaveolata253699	K18398
Ofaveolata261885	K13566
Ofaveolata261807	K10753
Ofaveolata269804	K11374
Ofaveolata257029	K06793
Ofaveolata255770	K23847
Ofaveolata241368	K09555
Ofaveolata262766	K01324
Ofaveolata254221	K08378
Ofaveolata267673	K22804
Ofaveolata237357	K24610
Ofaveolata253264	K08171
Ofaveolata265391	K24779
Ofaveolata264005	K08900
Ofaveolata247849	K12302
Ofaveolata241830	K12379
Ofaveolata266329	K23739
Ofaveolata250274	K24032
Ofaveolata265806	K16942
Ofaveolata266277	K15272
Ofaveolata32253	K06768
Ofaveolata258206	K04231
Ofaveolata267004	K01301
Ofaveolata269572	K10642
Ofaveolata266262	K06584
Ofaveolata228766	K15614
Ofaveolata240119	K15309
Ofaveolata245231	K11584
Ofaveolata269466	K11699
Ofaveolata250287	K08187
Ofaveolata245368	K04352
Ofaveolata257165	K01013
Ofaveolata254041	K17413
Ofaveolata260961	K01080
Ofaveolata1447043	K10450
Ofaveolata234527	K04134
Ofaveolata261501	K02296
Ofaveolata261624	K15734
Ofaveolata263988	K14848
Ofaveolata261149	K01672
Ofaveolata267977	K08798
Ofaveolata269841	K17592
Ofaveolata259616	K06698
Ofaveolata268929	K25163
Ofaveolata269653	K05736
Ofaveolata208518	K10790
Ofaveolata261392	K10380
Ofaveolata252676	K00710
Ofaveolata250012	K05051
Ofaveolata154706	K15015
Ofaveolata245276	K04263
Ofaveolata251783	K12655
Ofaveolata266757	K05012
Ofaveolata254120	K12891
Ofaveolata248280	K01061
Ofaveolata264414	K04150
Ofaveolata259560	K07071
Ofaveolata262162	K15436
Ofaveolata855508	K17275
Ofaveolata255892	K00365
Ofaveolata261260	K11536
Ofaveolata254830	K02030
Ofaveolata250873	K14404
Ofaveolata262735	K14443
Ofaveolata180973	K04267
Ofaveolata268194	K09420
Ofaveolata3043539	K04165
Ofaveolata265544	K10457
Ofaveolata266896	K16288
Ofaveolata249665	K20029
Ofaveolata262350	K00512
Ofaveolata1385594	K07874
Ofaveolata265885	K21403
Ofaveolata261029	K03444
Ofaveolata266506	K24814
Ofaveolata49010	K05181
Ofaveolata251984	K17513
Ofaveolata233921	K05692
Ofaveolata255632	K04887
Ofaveolata263394	K23088
Ofaveolata255792	K07374
Ofaveolata264219	K07380
Ofaveolata268920	K12397
Ofaveolata261930	K08665
Ofaveolata260722	K03068
Ofaveolata265333	K04592
Ofaveolata269731	K16353
Ofaveolata259816	K16659
Ofaveolata268743	K03252
Ofaveolata256729	K08526
Ofaveolata221626	K11997
Ofaveolata269483	K03349
Ofaveolata227775	K24835
Ofaveolata1862914	K04421
Ofaveolata260424	K24261
Ofaveolata247027	K04285
Ofaveolata2466035	K12302
Ofaveolata238694	K08186
Ofaveolata262482	K19952
Ofaveolata223804	K24936
Ofaveolata252038	K01020
Ofaveolata259103	K00942
Ofaveolata251309	K14800
Ofaveolata254366	K19907
Ofaveolata264247	K14778
Ofaveolata249569	K24931
Ofaveolata263518	K03022
Ofaveolata254910	K08829
Ofaveolata247426	K16353
Ofaveolata251612	K18123
Ofaveolata260607	K03869
Ofaveolata216610	K04513
Ofaveolata261513	K09848
Ofaveolata261925	K19511
Ofaveolata207611	K11001
Ofaveolata240889	K04160
Ofaveolata266013	K19951
Ofaveolata263188	K12852
Ofaveolata257516	K04345
Ofaveolata249996	K21752
Ofaveolata313289	K11481
Ofaveolata264342	K04874
Ofaveolata259128	K01324
Ofaveolata264567	K15381
Ofaveolata259620	K06127
Ofaveolata265089	K24774
Ofaveolata258887	K00767
Ofaveolata264965	K24822
Ofaveolata162110	K06238
Ofaveolata267292	K03990
Ofaveolata259844	K05463
Ofaveolata214739	K04152
Ofaveolata269623	K23956
Ofaveolata268815	K16506
Ofaveolata252416	K24837
Ofaveolata1400042	K05546
Ofaveolata250543	K04267
Ofaveolata269058	K24387
Ofaveolata268627	K08132
Ofaveolata262179	K23908
Ofaveolata245715	K17730
Ofaveolata268379	K23628
Ofaveolata248334	K01047
Ofaveolata240716	K08025
Ofaveolata269295	K03164
Ofaveolata261724	K17458
Ofaveolata168932	K07997
Ofaveolata264407	K16569
Ofaveolata269196	K15297
Ofaveolata268370	K11997
Ofaveolata268443	K25000
Ofaveolata196653	K11801
Ofaveolata209372	K07904
Ofaveolata268663	K03173
Ofaveolata236839	K12739
Ofaveolata265465	K08673
Ofaveolata251188	K04148
Ofaveolata239743	K14616
Ofaveolata246251	K10478
Ofaveolata262999	K24786
Ofaveolata251787	K10457
Ofaveolata258828	K09855
Ofaveolata258526	K04874
Ofaveolata269475	K11373
Ofaveolata251000	K12198
Ofaveolata267219	K04224
Ofaveolata262457	K10478
Ofaveolata254534	K06236
Ofaveolata261869	K10638
Ofaveolata247468	K04267
Ofaveolata266395	K05094
Ofaveolata262721	K03440
Ofaveolata264051	K19933
Ofaveolata260781	K17922
Ofaveolata253554	K04403
Ofaveolata1869016	K17732
Ofaveolata265660	K01565
Ofaveolata260561	K03189
Ofaveolata256078	K21956
Ofaveolata269072	K13291
Ofaveolata264093	K04874
Ofaveolata244521	K03257
Ofaveolata266383	K13094
Ofaveolata261445	K00555
Ofaveolata262776	K14683
Ofaveolata262798	K00315
Ofaveolata269696	K10408
Ofaveolata253497	K12646
Ofaveolata230286	K09310
Ofaveolata267244	K01077
Ofaveolata230996	K04079
Ofaveolata250801	K07753
Ofaveolata263003	K10874
Ofaveolata2194909	K08193
Ofaveolata229024	K04209
Ofaveolata269526	K03174
Ofaveolata116218	K06269
Ofaveolata264119	K06030
Ofaveolata266243	K14795
Ofaveolata263503	K10366
Ofaveolata239685	K17969
Ofaveolata261016	K15042
Ofaveolata267577	K24734
Ofaveolata265327	K04950
Ofaveolata259426	K19931
Ofaveolata267595	K00622
Ofaveolata261238	K24807
Ofaveolata258910	K08455
Ofaveolata261779	K06664
Ofaveolata261630	K20180
Ofaveolata258199	K01672
Ofaveolata261874	K06259
Ofaveolata251366	K07819
Ofaveolata231077	K04874
Ofaveolata255540	K23333
Ofaveolata228478	K24936
Ofaveolata262884	K10454
Ofaveolata265737	K15142
Ofaveolata1522394	K05181
Ofaveolata266656	K11149
Ofaveolata243193	K10656
Ofaveolata215869	K02934
Ofaveolata260246	K10443
Ofaveolata238576	K18586
Ofaveolata91127	K01271
Ofaveolata247552	K07440
Ofaveolata264811	K01349
Ofaveolata265282	K10892
Ofaveolata261046	K02091
Ofaveolata156964	K14379
Ofaveolata263459	K04239
Ofaveolata239496	K04593
Ofaveolata259630	K24469
Ofaveolata260987	K10147
Ofaveolata13813	K02256
Ofaveolata264151	K14556
Ofaveolata254141	K10877
Ofaveolata252603	K17350
Ofaveolata257042	K18849
Ofaveolata161683	K04204
Ofaveolata269817	K08874
Ofaveolata214023	K16857
Ofaveolata266462	K09848
Ofaveolata261377	K00102
Ofaveolata113237	K24086
Ofaveolata260906	K03129
Ofaveolata255748	K09045
Ofaveolata255393	K24792
Ofaveolata234797	K11368
Ofaveolata266060	K12035
Ofaveolata218159	K10408
Ofaveolata264474	K16855
Ofaveolata261584	K00235
Ofaveolata262069	K10260
Ofaveolata241427	K04593
Ofaveolata265194	K07189
Ofaveolata226147	K17341
Ofaveolata265843	K17341
Ofaveolata264160	K12035
Ofaveolata263806	K05678
Ofaveolata1557043	K13624
Ofaveolata242926	K00544
Ofaveolata938427	K08664
Ofaveolata240828	K05723
Ofaveolata266030	K04043
Ofaveolata248840	K04200
Ofaveolata267074	K23972
Ofaveolata255863	K20285
Ofaveolata240535	K08375
Ofaveolata266652	K15015
Ofaveolata247811	K04285
Ofaveolata246605	K05357
Ofaveolata241023	K14613
Ofaveolata261121	K06974
Ofaveolata250435	K03243
Ofaveolata113279	K02969
Ofaveolata267809	K03172
Ofaveolata230908	K00011
Ofaveolata263496	K12396
Ofaveolata265837	K02677
Ofaveolata259526	K11322
Ofaveolata237533	K24734
Ofaveolata269404	K10478
Ofaveolata250268	K22790
Ofaveolata267519	K09093
Ofaveolata268575	K12856
Ofaveolata268809	K13985
Ofaveolata248200	K06819
Ofaveolata257015	K18735
Ofaveolata261914	K00552
Ofaveolata252454	K01135
Ofaveolata1235850	K08546
Ofaveolata268826	K04854
Ofaveolata254238	K05036
Ofaveolata267445	K04223
Ofaveolata255596	K24539
Ofaveolata225670	K13886
Ofaveolata267399	K08069
Ofaveolata257600	K12188
Ofaveolata255517	K24332
Ofaveolata266694	K20102
Ofaveolata393267	K18222
Ofaveolata267058	K05502
Ofaveolata260637	K02879
Ofaveolata259243	K22614
Ofaveolata161991	K02730
Ofaveolata268414	K10594
Ofaveolata193540	K18274
Ofaveolata243953	K15837
Ofaveolata262406	K15304
Ofaveolata260887	K10424
Ofaveolata258752	K12589
Ofaveolata5483	K04249
Ofaveolata264385	K17307
Ofaveolata269309	K19525
Ofaveolata251687	K02374
Ofaveolata262387	K17398
Ofaveolata263136	K13159
Ofaveolata265689	K11515
Ofaveolata260525	K00234
Ofaveolata267835	K07497
Ofaveolata255884	K12194
Ofaveolata260937	K01301
Ofaveolata251485	K24049
Ofaveolata250929	K06754
Ofaveolata264552	K10809
Ofaveolata266530	K04659
Ofaveolata260992	K01874
Ofaveolata242461	K04224
Ofaveolata259138	K15264
Ofaveolata263912	K20915
Ofaveolata267881	K20101
Ofaveolata266050	K04134
Ofaveolata260174	K14327
Ofaveolata113375	K01596
Ofaveolata268360	K16766
Ofaveolata260495	K16914
Ofaveolata243453	K22453
Ofaveolata253060	K10443
Ofaveolata258925	K04565
Ofaveolata269205	K23001
Ofaveolata266716	K10770
Ofaveolata234172	K09109
Ofaveolata265646	K02327
Ofaveolata255180	K24627
Ofaveolata255160	K19985
Ofaveolata257010	K14072
Ofaveolata268715	K16770
Ofaveolata267657	K11478
Ofaveolata269397	K01611
Ofaveolata268068	K01415
Ofaveolata230946	K08770
Ofaveolata253679	K23863
Ofaveolata250962	K00799
Ofaveolata216115	K04078
Ofaveolata245229	K15026
Ofaveolata260983	K10356
Ofaveolata248888	K17266
Ofaveolata267962	K04437
Ofaveolata233979	K04986
Ofaveolata263331	K05665
Ofaveolata267299	K07521
Ofaveolata256708	K11981
Ofaveolata267159	K18809
Ofaveolata168257	K07901
Ofaveolata257878	K14072
Ofaveolata252942	K10457
Ofaveolata257369	K11985
Ofaveolata254866	K06875
Ofaveolata257139	K03513
Ofaveolata264297	K23540
Ofaveolata269662	K23400
Ofaveolata248279	K08630
Ofaveolata268483	K21853
Ofaveolata268996	K06777
Ofaveolata243825	K09410
Ofaveolata252828	K20241
Ofaveolata244082	K03320
Ofaveolata266256	K22125
Ofaveolata263607	K23617
Ofaveolata263792	K15335
Ofaveolata254582	K03637
Ofaveolata17235	K00432
Ofaveolata252140	K00432
Ofaveolata252920	K10298
Ofaveolata258947	K01510
Ofaveolata229594	K16681
Ofaveolata261473	K00693
Ofaveolata225366	K24412
Ofaveolata267234	K09537
Ofaveolata260975	K01874
Ofaveolata269089	K14950
Ofaveolata240230	K23847
Ofaveolata258972	K24936
Ofaveolata264067	K12472
Ofaveolata248012	K24936
Ofaveolata267289	K21763
Ofaveolata2511996	K04659
Ofaveolata168069	K05034
Ofaveolata263201	K01020
Ofaveolata258760	K11407
Ofaveolata1169341	K17341
Ofaveolata1024506	K07375
Ofaveolata262613	K03283
Ofaveolata263951	K09487
Ofaveolata269865	K12800
Ofaveolata269048	K00698
Ofaveolata268231	K24169
Ofaveolata250141	K11253
Ofaveolata268420	K04468
Ofaveolata257386	K15323
Ofaveolata268350	K10408
Ofaveolata264636	K10879
Ofaveolata263246	K01897
Ofaveolata256112	K15324
Ofaveolata249119	K02891
Ofaveolata262683	K03372
Ofaveolata237613	K09267
Ofaveolata244010	K08059
Ofaveolata254998	K08003
Ofaveolata267312	K00710
Ofaveolata240776	K19328
Ofaveolata255066	K11339
Ofaveolata269121	K13159
Ofaveolata260836	K00624
Ofaveolata1929276	K04988
Ofaveolata255810	K18486
Ofaveolata267846	K25165
Ofaveolata266026	K10185
Ofaveolata255086	K16342
Ofaveolata268338	K24032
Ofaveolata160986	K03135
Ofaveolata265702	K15104
Ofaveolata261464	K09260
Ofaveolata240293	K00327
Ofaveolata255369	K01116
Ofaveolata252262	K13299
Ofaveolata199102	K04592
Ofaveolata265267	K08187
Ofaveolata245178	K09560
Ofaveolata265173	K18078
Ofaveolata255848	K10487
Ofaveolata265385	K12604
Ofaveolata258773	K04249
Ofaveolata264237	K14685
Ofaveolata265915	K23882
Ofaveolata255045	K24835
Ofaveolata264753	K04986
Ofaveolata267273	K20045
Ofaveolata259430	K24298
Ofaveolata259592	K05126
Ofaveolata161889	K05692
Ofaveolata241597	K01359
Ofaveolata268873	K12478
Ofaveolata179795	K10104
Ofaveolata239536	K14071
Ofaveolata269768	K12567
Ofaveolata259820	K22614
Ofaveolata253330	K03109
Ofaveolata258007	K23488
Ofaveolata1095641	K11254
Ofaveolata220983	K08770
Ofaveolata254648	K01527
Ofaveolata269405	K20780
Ofaveolata263703	K10256
Ofaveolata242837	K00522
Ofaveolata269480	K23342
Ofaveolata253921	K23893
Ofaveolata245362	K13169
Ofaveolata266635	K14841
Ofaveolata261570	K10642
Ofaveolata248339	K03232
Ofaveolata263859	K19899
Ofaveolata258802	K05768
Ofaveolata264898	K01376
Ofaveolata258997	K08375
Ofaveolata251928	K07409
Ofaveolata252952	K25203
Ofaveolata262612	K04136
Ofaveolata220208	K12842
Ofaveolata265909	K00744
Ofaveolata250354	K24760
Ofaveolata267672	K03002
Ofaveolata262916	K04989
Ofaveolata258849	K00262
Ofaveolata260404	K21031
Ofaveolata268200	K19674
Ofaveolata252110	K13907
Ofaveolata244750	K07374
Ofaveolata1213605	K20198
Ofaveolata265903	K06478
Ofaveolata265989	K02599
Ofaveolata233217	K14165
Ofaveolata268671	K12194
Ofaveolata226955	K22456
Ofaveolata267874	K07190
Ofaveolata260962	K22376
Ofaveolata255933	K17341
Ofaveolata1524457	K08375
Ofaveolata262057	K10990
Ofaveolata261990	K00949
Ofaveolata262272	K24744
Ofaveolata245955	K22155
Ofaveolata264704	K24748
Ofaveolata253019	K00587
Ofaveolata266589	K02580
Ofaveolata113275	K13126
Ofaveolata257447	K07868
Ofaveolata263914	K10478
Ofaveolata228727	K01672
Ofaveolata268261	K22862
Ofaveolata259239	K09228
Ofaveolata269020	K14836
Ofaveolata254523	K06497
Ofaveolata226124	K16796
Ofaveolata241244	K25409
Ofaveolata8061	K10408
Ofaveolata266810	K01408
Ofaveolata260425	K05122
Ofaveolata258608	K09317
Ofaveolata268345	K20366
Ofaveolata261492	K25377
Ofaveolata264635	K20181
Ofaveolata255295	K10408
Ofaveolata247690	K16673
Ofaveolata250862	K05466
Ofaveolata224455	K09207
Ofaveolata264559	K03899
Ofaveolata259795	K01135
Ofaveolata265174	K20121
Ofaveolata267702	K10590
Ofaveolata240056	K25421
Ofaveolata215706	K14443
Ofaveolata266035	K12035
Ofaveolata268656	K04612
Ofaveolata260147	K05312
Ofaveolata269055	K13023
Ofaveolata265839	K06236
Ofaveolata257468	K24936
Ofaveolata256741	K12663
Ofaveolata260665	K17341
Ofaveolata256955	K14838
Ofaveolata265556	K21442
Ofaveolata265774	K01754
Ofaveolata57959	K09657
Ofaveolata269003	K17299
Ofaveolata269710	K19679
Ofaveolata113654	K09360
Ofaveolata225680	K02267
Ofaveolata262495	K09866
Ofaveolata264360	K10380
Ofaveolata268145	K03283
Ofaveolata263414	K04209
Ofaveolata263772	K09228
Ofaveolata246258	K07376
Ofaveolata260922	K00021
Ofaveolata234406	K03899
Ofaveolata230426	K02880
Ofaveolata267264	K04967
Ofaveolata261222	K17341
Ofaveolata261537	K11997
Ofaveolata262100	K17619
Ofaveolata249203	K12880
Ofaveolata71835	K02256
Ofaveolata264293	K08409
Ofaveolata261459	K04874
Ofaveolata265862	K20056
Ofaveolata252432	K08568
Ofaveolata267691	K20360
Ofaveolata260786	K09848
Ofaveolata258174	K14379
Ofaveolata258270	K02184
Ofaveolata266666	K04375
Ofaveolata259847	K08341
Ofaveolata253265	K17262
Ofaveolata245421	K09114
Ofaveolata254489	K18496
Ofaveolata246908	K00733
Ofaveolata269512	K24469
Ofaveolata257776	K13047
Ofaveolata257370	K04267
Ofaveolata269253	K07497
Ofaveolata253927	K04097
Ofaveolata1994609	K06269
Ofaveolata262125	K02213
Ofaveolata225394	K23625
Ofaveolata262270	K01410
Ofaveolata253076	K07841
Ofaveolata266851	K16196
Ofaveolata253871	K06252
Ofaveolata263012	K16733
Ofaveolata250263	K02087
Ofaveolata225616	K00505
Ofaveolata254040	K24792
Ofaveolata260763	K04135
Ofaveolata268725	K04861
Ofaveolata266129	K06129
Ofaveolata262710	K09497
Ofaveolata133961	K03068
Ofaveolata269377	K06816
Ofaveolata266780	K10481
Ofaveolata264562	K17731
Ofaveolata257281	K10421
Ofaveolata261831	K19511
Ofaveolata256388	K05399
Ofaveolata258922	K10335
Ofaveolata235052	K22400
Ofaveolata256128	K06711
Ofaveolata269805	K04307
Ofaveolata262366	K01648
Ofaveolata249009	K08814
Ofaveolata260180	K07436
Ofaveolata260898	K00699
Ofaveolata247258	K09322
Ofaveolata269352	K04569
Ofaveolata265757	K05667
Ofaveolata263042	K05643
Ofaveolata264322	K03260
Ofaveolata261864	K13298
Ofaveolata263200	K03954
Ofaveolata265930	K04266
Ofaveolata259502	K14861
Ofaveolata250739	K06910
Ofaveolata239243	K20526
Ofaveolata259683	K16482
Ofaveolata262783	K10529
Ofaveolata268713	K04967
Ofaveolata265259	K05048
Ofaveolata267527	K01131
Ofaveolata262527	K15633
Ofaveolata225060	K02865
Ofaveolata269636	K24734
Ofaveolata267945	K24936
Ofaveolata257364	K01084
Ofaveolata258624	K24970
Ofaveolata254797	K18211
Ofaveolata267117	K18461
Ofaveolata251836	K04285
Ofaveolata261355	K10407
Ofaveolata242286	K10478
Ofaveolata262378	K09452
Ofaveolata269111	K06240
Ofaveolata266692	K18398
Ofaveolata260097	K13124
Ofaveolata1686920	K16857
Ofaveolata256456	K22414
Ofaveolata260943	K19398
Ofaveolata254386	K23342
Ofaveolata265446	K20777
Ofaveolata169746	K05125
Ofaveolata266232	K14799
Ofaveolata253978	K08378
Ofaveolata260812	K22381
Ofaveolata228256	K17341
Ofaveolata263752	K06754
Ofaveolata266552	K20305
Ofaveolata264186	K11662
Ofaveolata262818	K10380
Ofaveolata260626	K01855
Ofaveolata268078	K12392
Ofaveolata260048	K00505
Ofaveolata269547	K13912
Ofaveolata234819	K08193
Ofaveolata268437	K24142
Ofaveolata266763	K16586
Ofaveolata259528	K14613
Ofaveolata258664	K03124
Ofaveolata2493453	K11254
Ofaveolata1670892	K05312
Ofaveolata227245	K04266
Ofaveolata264426	K11644
Ofaveolata259299	K17929
Ofaveolata269083	K22525
Ofaveolata265504	K00020
Ofaveolata252742	K24946
Ofaveolata269558	K15261
Ofaveolata249132	K21891
Ofaveolata28008	K04204
Ofaveolata265799	K09381
Ofaveolata263749	K04832
Ofaveolata237742	K02935
Ofaveolata258592	K04440
Ofaveolata265999	K01017
Ofaveolata206377	K24675
Ofaveolata264917	K09171
Ofaveolata220429	K08375
Ofaveolata262990	K13354
Ofaveolata260959	K15865
Ofaveolata248713	K22790
Ofaveolata250134	K13045
Ofaveolata242173	K09372
Ofaveolata269675	K07497
Ofaveolata124975	K10408
Ofaveolata267611	K10864
Ofaveolata259627	K04230
Ofaveolata261000	K09632
Ofaveolata262470	K11666
Ofaveolata264107	K01873
Ofaveolata235838	K09554
Ofaveolata265699	K11251
Ofaveolata262268	K20994
Ofaveolata258221	K07277
Ofaveolata242243	K07497
Ofaveolata265191	K12035
Ofaveolata242191	K04874
Ofaveolata263020	K09407
Ofaveolata248630	K12389
Ofaveolata265576	K06254
Ofaveolata257569	K14169
Ofaveolata256378	K00910
Ofaveolata229716	K08963
Ofaveolata267714	K05310
Ofaveolata260442	K04221
Ofaveolata268402	K11699
Ofaveolata262549	K10459
Ofaveolata1569525	K04362
Ofaveolata266888	K23337
Ofaveolata253216	K08375
Ofaveolata1069641	K07295
Ofaveolata249128	K24354
Ofaveolata245843	K03899
Ofaveolata258650	K20820
Ofaveolata267740	K10876
Ofaveolata262062	K07478
Ofaveolata250524	K10422
Ofaveolata235306	K02927
Ofaveolata228073	K08635
Ofaveolata263113	K15015
Ofaveolata266301	K22647
Ofaveolata257267	K00921
Ofaveolata241711	K03654
Ofaveolata261590	K13202
Ofaveolata267467	K08576
Ofaveolata252753	K05673
Ofaveolata1165311	K07380
Ofaveolata225391	K02432
Ofaveolata226200	K10637
Ofaveolata268773	K17341
Ofaveolata265604	K19413
Ofaveolata267469	K21989
Ofaveolata261451	K00273
Ofaveolata254359	K03424
Ofaveolata268903	K11658
Ofaveolata268061	K07890
Ofaveolata90873	K04615
Ofaveolata259212	K01128
Ofaveolata267759	K06709
Ofaveolata264722	K10400
Ofaveolata266192	K00802
Ofaveolata268573	K12459
Ofaveolata7721	K24506
Ofaveolata161899	K20843
Ofaveolata267934	K17538
Ofaveolata215881	K02868
Ofaveolata263904	K19907
Ofaveolata265337	K19499
Ofaveolata253804	K15127
Ofaveolata267891	K02603
Ofaveolata252219	K00744
Ofaveolata239879	K02991
Ofaveolata240121	K24469
Ofaveolata266932	K14552
Ofaveolata268535	K16608
Ofaveolata249016	K06711
Ofaveolata262469	K25006
Ofaveolata269757	K06825
Ofaveolata259708	K06236
Ofaveolata262983	K10149
Ofaveolata264382	K05613
Ofaveolata264466	K15310
Ofaveolata269644	K06115
Ofaveolata259932	K18533
Ofaveolata257711	K10740
Ofaveolata266308	K14802
Ofaveolata240319	K00789
Ofaveolata252916	K00654
Ofaveolata264140	K19604
Ofaveolata264935	K23326
Ofaveolata261826	K15690
Ofaveolata244270	K25307
Ofaveolata264298	K04422
Ofaveolata253693	K08678
Ofaveolata262722	K23741
Ofaveolata252371	K20872
Ofaveolata247149	K10373
Ofaveolata167950	K05692
Ofaveolata212045	K10478
Ofaveolata254778	K03686
Ofaveolata269811	K18263
Ofaveolata262279	K03263
